time,gFx,gFy,gFz,TgF
22:09:29:127,0.1761,0.0720,0.9727,0.991
22:09:29:265,0.1961,-0.0160,1.0847,1.102
22:09:29:266,0.1561,-0.0040,1.0207,1.033
22:09:29:268,0.0881,-0.0160,0.9807,0.985
22:09:29:270,0.0440,-0.0080,1.0167,1.018
22:09:29:272,-0.0080,-0.0080,1.1007,1.101
22:09:29:273,-0.0280,-0.0120,1.1688,1.169
22:09:29:274,-0.0200,0.0120,1.1088,1.109
22:09:29:276,-0.0160,0.0240,1.0087,1.009
22:09:29:277,-0.0360,0.0440,0.9406,0.942
22:09:29:279,-0.0801,0.0400,0.9647,0.969
22:09:29:280,-0.1241,0.0440,1.0287,1.037
22:09:29:281,-0.1281,0.0280,1.0407,1.049
22:09:29:282,-0.0480,0.0080,0.8246,0.826
22:09:29:284,-0.1241,-0.0160,0.8806,0.889
22:09:29:303,-0.0520,-0.0360,0.9446,0.947
22:09:29:304,-0.0360,-0.0400,1.0007,1.002
22:09:29:308,0.0040,-0.0440,1.0367,1.038
22:09:29:319,0.0000,-0.0480,1.0767,1.078
22:09:29:328,-0.0160,-0.0400,1.0607,1.062
22:09:29:339,-0.0200,-0.0080,1.0007,1.001
22:09:29:348,-0.0240,0.0240,0.9086,0.909
22:09:29:358,-0.0160,0.0560,0.9046,0.906
22:09:29:369,-0.0120,0.0680,0.9687,0.971
22:09:29:378,0.0120,0.0520,1.1088,1.110
22:09:29:391,0.0520,0.0360,1.1928,1.194
22:09:29:401,0.0841,0.0560,1.2008,1.205
22:09:29:408,0.1121,0.0640,1.1488,1.156
22:09:29:418,0.1201,0.0841,1.0727,1.083
22:09:29:428,0.1121,0.1401,1.0207,1.036
22:09:29:438,0.1241,0.1641,1.0327,1.053
22:09:29:448,0.1321,0.1401,1.1368,1.153
22:09:29:458,0.1521,0.1081,1.2408,1.255
22:09:29:469,0.2081,0.0720,1.3449,1.363
22:09:29:480,0.2201,0.0560,1.2488,1.269
22:09:29:489,0.2282,0.0640,1.1328,1.157
22:09:29:499,0.2001,0.1081,1.0847,1.108
22:09:29:510,0.1361,0.1241,1.0567,1.073
22:09:29:519,0.0680,0.1201,1.0767,1.086
22:09:29:529,0.1441,0.0921,1.1128,1.126
22:09:29:538,0.1801,0.0761,1.1047,1.122
22:09:29:548,0.2001,0.0680,1.0207,1.042
22:09:29:558,0.1801,0.0801,0.9406,0.961
22:09:29:568,0.1601,0.0881,0.9166,0.935
22:09:29:578,0.1241,0.0640,0.9286,0.939
22:09:29:588,0.1081,0.0320,0.9727,0.979
22:09:29:598,0.1161,0.0320,0.9807,0.988
22:09:29:609,0.1201,0.0360,0.9807,0.989
22:09:29:620,0.1081,0.0320,0.9486,0.955
22:09:29:630,0.0881,0.0400,0.8886,0.894
22:09:29:645,0.0640,0.0520,0.8806,0.884
22:09:29:649,0.0360,0.0600,0.9446,0.947
22:09:29:659,0.0160,0.0520,1.0207,1.022
22:09:29:669,0.0320,0.0360,1.0047,1.006
22:09:29:679,0.0881,0.0560,0.9847,0.990
22:09:29:688,0.0801,0.0640,1.0607,1.066
22:09:29:698,0.0720,0.0600,1.1968,1.200
22:09:29:708,0.0841,0.0640,1.1568,1.162
22:09:29:718,0.1161,0.0801,1.1168,1.126
22:09:29:728,0.1121,0.1161,0.9767,0.990
22:09:29:738,0.1681,0.1601,0.9166,0.946
22:09:29:749,0.0961,0.1481,0.9486,0.965
22:09:29:759,0.1121,0.0841,0.9727,0.983
22:09:29:769,0.1481,0.0440,0.9967,1.009
22:09:29:779,0.1681,0.0280,1.0047,1.019
22:09:29:788,0.1721,0.0040,1.1007,1.114
22:09:29:798,0.1401,-0.0240,1.1728,1.181
22:09:29:808,0.1081,-0.0200,1.1248,1.130
22:09:29:818,0.1201,0.0160,0.9647,0.972
22:09:29:828,0.1281,0.0600,0.8526,0.864
22:09:29:839,0.0921,0.0801,0.8206,0.830
22:09:29:848,0.0640,0.0480,0.9046,0.908
22:09:29:859,0.0440,0.0320,1.0247,1.026
22:09:29:869,0.0440,0.0240,1.1688,1.170
22:09:29:879,0.0560,-0.0120,1.2528,1.254
22:09:29:889,0.0640,0.0040,1.2208,1.223
22:09:29:898,0.0120,0.0560,1.1208,1.122
22:09:29:908,-0.0360,0.0921,1.0847,1.089
22:09:29:918,-0.0400,0.1401,1.0927,1.102
22:09:29:928,-0.0360,0.1521,1.1448,1.155
22:09:29:938,-0.0040,0.1161,1.2408,1.246
22:09:29:948,0.0520,0.0761,1.2889,1.292
22:09:29:958,0.1081,0.0600,1.2809,1.287
22:09:29:969,0.1361,0.0360,1.2248,1.233
22:09:29:980,0.1481,0.0480,1.1848,1.195
22:09:29:989,0.1121,0.0680,1.1007,1.109
22:09:29:998,0.1041,0.0881,1.0367,1.046
22:09:30:8,0.0881,0.0761,0.9607,0.968
22:09:30:18,0.0961,0.0680,0.9126,0.920
22:09:30:171,0.0961,0.0280,0.9607,0.966
22:09:30:172,0.0640,-0.0240,1.0287,1.031
22:09:30:174,0.0560,-0.0640,1.1047,1.108
22:09:30:175,0.0720,-0.0720,1.1007,1.105
22:09:30:176,0.0921,-0.0480,1.0727,1.078
22:09:30:177,0.0440,-0.0040,1.0647,1.066
22:09:30:178,-0.0400,0.0120,1.1448,1.146
22:09:30:180,-0.0881,0.0280,1.3129,1.316
22:09:30:181,-0.0801,0.0320,1.3129,1.316
22:09:30:182,-0.0120,0.0761,1.1007,1.103
22:09:30:183,-0.0080,0.0961,0.9206,0.926
22:09:30:184,0.0160,0.1441,0.8166,0.829
22:09:30:341,-0.0320,0.0080,0.8526,0.853
22:09:30:342,-0.0120,-0.0080,0.8646,0.865
22:09:30:344,-0.0280,-0.0240,0.8886,0.889
22:09:30:345,-0.0600,-0.0440,1.0047,1.007
22:09:30:346,-0.1041,-0.0720,1.1528,1.160
22:09:30:348,-0.0961,-0.1081,1.2368,1.245
22:09:30:350,-0.0160,-0.0640,1.1088,1.111
22:09:30:351,0.0040,0.0040,0.9246,0.925
22:09:30:352,-0.0280,0.0400,0.8246,0.826
22:09:30:354,-0.0841,0.0640,0.8486,0.855
22:09:30:355,-0.1321,0.0320,1.0127,1.022
22:09:30:356,-0.0881,-0.0040,1.1808,1.184
22:09:30:357,-0.0480,0.0520,1.0727,1.075
22:09:30:359,0.0040,0.0640,1.0207,1.023
22:09:30:376,0.0360,0.0360,0.9927,0.994
22:09:30:378,0.0600,0.0240,0.9847,0.987
22:09:30:388,0.0720,0.0080,0.9767,0.979
22:09:30:398,0.0841,0.0040,0.9526,0.956
22:09:30:408,0.1121,0.0040,0.9767,0.983
22:09:30:419,0.0801,-0.0280,1.0167,1.020
22:09:30:428,0.1001,-0.0240,1.0167,1.022
22:09:30:438,0.0881,0.0040,0.9927,0.997
22:09:30:448,0.1281,0.0160,1.0487,1.057
22:09:30:458,0.0280,0.0200,1.1408,1.141
22:09:30:469,0.0120,0.0320,1.2168,1.217
22:09:30:478,0.0160,0.0560,1.2448,1.246
22:09:30:488,0.0360,0.0881,1.1408,1.145
22:09:30:498,0.0520,0.1161,1.0287,1.037
22:09:30:508,0.0640,0.1401,1.0047,1.016
22:09:30:518,0.0640,0.1281,0.9967,1.007
22:09:30:528,0.0881,0.1001,1.0287,1.037
22:09:30:538,0.1281,0.0600,1.0647,1.074
22:09:30:548,0.1401,0.0480,1.0487,1.059
22:09:30:559,0.1201,0.0280,1.0647,1.072
22:09:30:568,0.1041,-0.0160,1.1368,1.142
22:09:30:578,0.1561,-0.0400,1.1808,1.192
22:09:30:588,0.1641,0.0320,1.0767,1.090
22:09:30:598,0.1801,0.0280,0.9526,0.970
22:09:30:609,0.1761,-0.0040,0.8606,0.878
22:09:30:618,0.2081,-0.0240,0.9366,0.960
22:09:30:628,0.1441,-0.0200,1.1168,1.126
22:09:30:638,0.1201,-0.0440,1.2528,1.259
22:09:30:648,0.1441,-0.0400,1.2528,1.262
22:09:30:658,0.1361,-0.0040,1.1848,1.193
22:09:30:668,0.0961,0.0360,1.1608,1.165
22:09:30:682,0.0560,0.0640,1.1848,1.188
22:09:30:690,0.0881,0.0881,1.1408,1.148
22:09:30:699,0.1121,0.1001,1.0847,1.095
22:09:30:708,0.1401,0.1121,1.0047,1.021
22:09:31:171,0.1841,0.1041,0.9647,0.988
22:09:35:749,-0.0841,-0.0040,1.0207,1.024
22:09:35:760,0.1081,0.0040,1.2288,1.234
22:09:35:770,0.0761,0.0640,1.2208,1.225
22:09:35:780,0.0961,0.0881,1.0767,1.085
22:09:35:790,0.1161,0.1081,0.9326,0.946
22:09:35:800,0.1121,0.1481,0.8886,0.908
22:09:35:810,0.1041,0.2081,0.9086,0.938
22:09:35:820,0.0921,0.2362,0.9486,0.982
22:09:35:831,0.1081,0.2201,1.0007,1.030
22:09:35:840,0.1441,0.2201,1.0567,1.089
22:09:35:850,0.1881,0.2041,1.0447,1.081
22:09:35:861,0.2242,0.2201,1.0807,1.125
22:09:35:870,0.2242,0.2362,1.1568,1.202
22:09:35:880,0.2322,0.2282,1.2248,1.267
22:09:35:891,0.2522,0.2482,1.2328,1.283
22:09:35:900,0.2642,0.2802,1.1047,1.170
22:09:35:911,0.2522,0.3162,0.9847,1.064
22:09:35:920,0.2722,0.3282,0.8366,0.939
22:09:35:930,0.2922,0.3482,0.7805,0.903
22:09:35:941,0.2242,0.2802,0.7965,0.874
22:09:35:950,0.1961,0.1881,0.9687,1.006
22:09:35:961,0.1321,0.1161,1.2528,1.265
22:09:35:971,0.1281,0.0720,1.3889,1.397
22:09:35:981,0.1521,0.0680,1.2128,1.224
22:09:35:990,0.1441,0.1121,0.9406,0.958
22:09:36:1,0.1241,0.1841,0.8045,0.835
22:09:36:11,0.0720,0.2161,0.8246,0.855
22:09:36:20,0.0240,0.1401,0.8966,0.908
22:09:36:30,0.0400,0.1641,0.9687,0.983
22:09:36:40,0.1361,0.1281,0.9326,0.951
22:09:36:50,0.2041,0.1041,0.8606,0.891
22:09:36:61,0.2081,0.0720,0.8166,0.846
22:09:36:70,0.1481,0.0600,0.8726,0.887
22:09:36:80,0.0040,0.0480,1.0207,1.022
22:09:36:90,0.0160,0.0360,1.1808,1.181
22:09:36:100,0.0240,0.0520,1.2208,1.222
22:09:36:111,0.0720,0.1001,1.1208,1.128
22:09:36:120,0.1121,0.1641,1.0007,1.020
22:09:36:313,0.0961,0.1921,0.9927,1.016
22:09:36:314,0.0600,0.2362,1.0927,1.120
22:09:36:315,0.0761,0.2482,1.2368,1.264
22:09:36:317,0.0961,0.2762,1.2649,1.298
22:09:36:318,0.1921,0.3002,1.2288,1.279
22:09:36:319,0.2482,0.3122,1.1768,1.243
22:09:36:320,0.2642,0.3282,1.1288,1.205
22:09:36:322,0.2442,0.2842,1.0567,1.121
22:09:36:323,0.2081,0.2762,0.9847,1.044
22:09:36:324,0.2081,0.2562,0.8846,0.944
22:09:36:325,0.2121,0.2322,0.8446,0.901
22:09:36:326,0.2041,0.2081,0.8166,0.867
22:09:36:434,0.0400,0.1041,1.0967,1.102
22:09:36:435,0.0280,0.1321,1.0567,1.065
22:09:36:436,0.0040,0.1641,0.9486,0.963
22:09:36:437,0.0080,0.1961,0.8926,0.914
22:09:36:439,-0.0120,0.2442,0.8766,0.910
22:09:36:440,-0.0360,0.2722,0.8846,0.926
22:09:36:441,-0.0320,0.2842,0.8366,0.884
22:09:36:443,-0.0040,0.3002,0.8005,0.855
22:09:36:444,0.0440,0.3242,0.8206,0.883
22:09:36:445,0.0440,0.3042,1.0287,1.074
22:09:36:446,0.0480,0.2242,1.2809,1.301
22:09:36:447,0.1001,0.2001,1.3129,1.332
22:09:36:449,0.1921,0.2282,1.2048,1.241
22:09:36:450,0.2322,0.2682,1.0687,1.126
22:09:36:466,0.2201,0.2762,1.0207,1.080
22:09:36:468,0.1921,0.3162,0.9927,1.059
22:09:36:478,0.1681,0.3162,1.0847,1.142
22:09:36:488,0.1761,0.2962,1.0767,1.131
22:09:36:498,0.2121,0.2682,1.1528,1.202
22:09:36:508,0.2282,0.2322,1.2248,1.267
22:09:36:518,0.2161,0.1921,1.2569,1.290
22:09:36:530,0.2121,0.1601,1.0727,1.105
22:09:36:540,0.1961,0.2001,0.8486,0.894
22:09:36:559,0.1761,0.2121,0.7285,0.779
22:09:36:561,0.1601,0.1841,0.7325,0.772
22:09:36:568,0.0801,0.1161,0.8886,0.900
22:09:36:578,0.0120,0.0761,1.1248,1.127
22:09:36:588,0.0360,0.0400,1.2328,1.234
22:09:36:598,0.1321,0.0360,1.1007,1.109
22:09:36:608,0.1801,0.0480,0.9446,0.963
22:09:36:618,0.1161,0.0921,0.8806,0.893
22:09:36:628,0.0160,0.1201,0.9807,0.988
22:09:36:640,-0.0761,0.1401,1.2528,1.263
22:09:36:650,-0.0961,0.1601,1.5050,1.517
22:09:36:659,0.0280,0.1521,1.5491,1.557
22:09:36:669,0.1361,0.1561,1.3529,1.369
22:09:36:678,0.1881,0.2001,1.0767,1.111
22:09:36:688,0.1961,0.3002,1.0247,1.086
22:09:36:698,0.1561,0.4123,1.0007,1.093
22:09:36:712,0.1241,0.4363,1.0847,1.176
22:09:36:721,0.1201,0.3843,1.3329,1.392
22:09:36:731,0.2001,0.2802,1.4050,1.447
22:09:36:741,0.2802,0.2201,1.1608,1.214
22:09:36:750,0.2882,0.2562,0.8886,0.969
22:09:36:761,0.2882,0.2722,0.7245,0.826
22:09:36:771,0.3282,0.2522,0.6645,0.783
22:09:36:781,0.2322,0.1561,0.6164,0.677
22:09:36:791,0.1601,0.0600,0.6444,0.667
22:09:36:801,0.1401,0.0240,0.7525,0.766
22:09:36:809,0.1441,0.0360,0.8045,0.818
22:09:36:821,0.1521,0.0320,0.7965,0.812
22:09:36:831,0.1081,0.0280,0.7085,0.717
22:09:36:841,0.0360,0.0200,0.7165,0.718
22:09:36:851,-0.0240,0.0240,0.6645,0.665
22:09:36:861,-0.0480,0.0520,0.6444,0.648
22:09:36:871,-0.1041,0.1121,0.6364,0.655
22:09:36:881,-0.1401,0.1241,0.6524,0.679
22:09:36:891,-0.2081,0.1761,0.6965,0.748
22:09:36:916,-0.2322,0.2001,0.8286,0.883
22:09:36:929,-0.2922,0.2242,0.9847,1.051
22:09:36:930,-0.3482,0.2402,1.1968,1.269
22:09:36:932,-0.3642,0.2682,1.3209,1.396
22:09:36:948,-0.3002,0.2682,1.1328,1.202
22:09:36:950,-0.2121,0.3402,0.8966,0.982
22:09:36:959,-0.1481,0.3482,0.7405,0.832
22:09:36:969,-0.0761,0.3923,0.7005,0.806
22:09:36:979,-0.0400,0.4923,0.7205,0.874
22:09:36:990,-0.0440,0.5524,0.8886,1.047
22:09:37:0,-0.0841,0.4523,1.2408,1.323
22:09:37:10,-0.0240,0.2842,1.7852,1.808
22:09:37:20,0.0801,0.2682,2.0174,2.037
22:09:37:31,0.2081,0.2842,1.7052,1.741
22:09:37:41,0.2362,0.2602,1.3209,1.367
22:09:37:50,0.2642,0.2882,1.0807,1.149
22:09:37:59,0.2482,0.3402,0.9206,1.012
22:09:37:69,0.2682,0.3322,0.8686,0.968
22:09:37:79,0.3202,0.2402,1.0327,1.108
22:09:37:89,0.2882,0.0640,1.5050,1.534
22:09:37:99,0.3482,-0.0360,1.8412,1.874
22:09:37:112,0.4043,-0.0120,1.7892,1.834
22:09:37:119,0.3082,0.0761,1.3529,1.390
22:09:37:129,0.2362,-0.0560,0.9607,0.991
22:09:37:138,0.2322,-0.0240,0.7805,0.815
22:09:37:148,0.2682,0.0360,0.7925,0.837
22:09:37:158,0.1961,0.0801,0.7565,0.786
22:09:37:168,0.1361,0.0560,0.8045,0.818
22:09:37:178,0.1121,0.0280,0.8406,0.848
22:09:37:190,0.1481,0.0200,0.8566,0.870
22:09:37:337,0.1401,0.0400,0.8406,0.853
22:09:37:338,0.1361,0.0320,0.8446,0.856
22:09:37:339,0.0680,0.0360,0.8846,0.888
22:09:37:340,-0.0120,0.0801,0.9927,0.996
22:09:37:342,-0.0921,0.1401,1.1688,1.181
22:09:37:343,-0.1841,0.2161,1.3769,1.406
22:09:37:344,-0.1721,0.2722,1.2929,1.332
22:09:37:345,-0.0560,0.2802,0.8726,0.918
22:09:37:346,0.0640,0.3522,0.6524,0.744
22:09:37:347,0.1161,0.4203,0.5644,0.713
22:09:37:349,0.1241,0.4123,0.5604,0.707
22:09:37:350,0.1001,0.4243,0.5884,0.732
22:09:37:460,0.1921,0.2201,1.0567,1.096
22:09:37:462,0.2642,0.2642,1.0807,1.143
22:09:37:463,0.2722,0.2762,0.9607,1.036
22:09:37:465,0.2121,0.2322,0.8766,0.931
22:09:37:466,0.1641,0.1921,0.8806,0.916
22:09:37:468,0.1161,0.1921,1.0247,1.049
22:09:37:470,0.1161,0.1681,1.1968,1.214
22:09:37:471,0.1681,0.1401,1.1688,1.189
22:09:37:473,0.2362,0.1361,1.0007,1.037
22:09:37:474,0.2722,0.1561,0.8005,0.860
22:09:37:476,0.2522,0.1481,0.7605,0.815
22:09:37:477,0.1481,0.1201,0.8606,0.881
22:09:37:479,0.0400,0.0720,1.3769,1.379
22:09:37:481,0.0761,0.0801,1.5050,1.509
22:09:37:506,0.1001,0.0921,1.4090,1.416
22:09:37:508,0.1081,0.1161,1.1688,1.180
22:09:37:509,0.0801,0.1721,1.0407,1.058
22:09:37:518,0.0480,0.2282,1.0327,1.059
22:09:37:528,0.0400,0.2802,1.0887,1.125
22:09:37:538,0.0680,0.2522,1.0407,1.073
22:09:37:549,0.1521,0.2402,0.9566,0.998
22:09:37:558,0.2081,0.2402,0.8686,0.925
22:09:37:571,0.2201,0.1881,0.8766,0.923
22:09:37:579,0.1761,0.1481,1.0207,1.046
22:09:37:589,0.1161,0.1001,1.3609,1.370
22:09:37:599,0.0881,0.0841,1.6972,1.702
22:09:37:609,0.1561,0.1081,1.7572,1.767
22:09:37:618,0.2322,0.1441,1.3809,1.408
22:09:37:628,0.2161,0.2282,0.9807,1.030
22:09:37:639,0.1961,0.3362,0.7805,0.872
22:09:37:648,0.1361,0.4323,0.7405,0.868
22:09:37:658,0.0600,0.4283,0.7805,0.892
22:09:37:670,0.0240,0.3442,0.9046,0.968
22:09:37:679,0.0200,0.2602,1.0967,1.127
22:09:37:690,0.0921,0.1921,1.2088,1.227
22:09:37:700,0.1721,0.1881,1.0487,1.079
22:09:37:710,0.2001,0.2242,0.9006,0.949
22:09:37:719,0.1401,0.2242,0.7645,0.809
22:09:37:730,0.0680,0.2041,0.6925,0.725
22:09:37:740,0.0240,0.2001,0.6645,0.694
22:09:37:750,0.0120,0.1801,0.6645,0.689
22:09:37:760,0.0240,0.1721,0.6645,0.687
22:09:37:774,0.0520,0.1441,0.6805,0.697
22:09:37:792,0.0801,0.1201,0.6685,0.684
22:09:37:793,0.0841,0.0841,0.6645,0.675
22:09:37:800,0.0480,0.0440,0.6685,0.672
22:09:37:810,0.0160,0.0360,0.7565,0.758
22:09:37:820,-0.0440,0.0440,0.9847,0.987
22:09:37:830,-0.1321,0.0520,1.1968,1.205
22:09:37:840,-0.1481,0.0720,1.2689,1.280
22:09:37:850,-0.0680,0.1161,1.0167,1.026
22:09:37:859,-0.0240,0.1601,0.7365,0.754
22:09:37:871,-0.0280,0.2001,0.6084,0.641
22:09:37:880,-0.0801,0.2882,0.6965,0.758
22:09:37:890,-0.2201,0.3162,0.9326,1.009
22:09:37:900,-0.3402,0.3002,1.2208,1.302
22:09:37:911,-0.2922,0.2762,1.4570,1.511
22:09:37:921,-0.1281,0.2962,1.4650,1.500
22:09:37:931,-0.0200,0.3082,1.3089,1.345
22:09:37:941,0.0440,0.3442,1.2528,1.300
22:09:37:951,0.0440,0.3723,1.3969,1.446
22:09:37:961,0.0801,0.3602,1.5370,1.581
22:09:37:971,0.1521,0.3402,1.5090,1.554
22:09:37:981,0.2922,0.3242,1.3209,1.391
22:09:37:990,0.4043,0.3162,1.1728,1.280
22:09:38:0,0.4323,0.2882,1.0767,1.196
22:09:38:11,0.4963,0.2081,1.0247,1.157
22:09:38:20,0.5003,0.1041,1.0567,1.174
22:09:38:31,0.5164,-0.0160,1.1968,1.304
22:09:38:41,0.4923,-0.1321,1.5210,1.604
22:09:38:51,0.4363,-0.1641,1.6331,1.698
22:09:38:62,0.3803,-0.0400,1.3489,1.402
22:09:38:70,0.3322,-0.0200,1.0327,1.085
22:09:38:80,0.2562,-0.1281,0.9366,0.979
22:09:38:90,0.1321,0.0400,0.9526,0.963
22:09:38:100,0.0360,0.0841,1.0647,1.069
22:09:38:111,-0.0640,0.1041,1.1688,1.175
22:09:38:120,-0.1001,0.1361,1.1488,1.161
22:09:38:130,-0.0440,0.1641,0.9967,1.011
22:09:38:140,0.0000,0.1881,0.8486,0.869
22:09:38:151,-0.0120,0.2242,0.8366,0.866
22:09:38:161,-0.0720,0.2322,0.9126,0.944
22:09:38:170,-0.1441,0.2161,1.0007,1.034
22:09:38:180,-0.1521,0.2242,1.0527,1.087
22:09:38:190,-0.0720,0.2442,1.1128,1.142
22:09:38:200,-0.0240,0.2482,1.2048,1.230
22:09:38:211,0.0040,0.2242,1.2008,1.222
22:09:38:220,0.0440,0.2201,1.0407,1.065
22:09:38:230,0.1081,0.2362,0.8926,0.930
22:09:38:391,0.1601,0.2602,0.8126,0.868
22:09:38:392,0.1641,0.2442,0.7565,0.812
22:09:38:393,0.1801,0.2001,0.7965,0.841
22:09:38:395,0.2201,0.1561,0.9326,0.971
22:09:38:396,0.2282,0.1121,1.1168,1.145
22:09:38:397,0.2562,0.0560,1.1728,1.202
22:09:38:398,0.2802,0.0520,1.0287,1.067
22:09:38:400,0.2762,0.0761,0.7965,0.846
22:09:38:401,0.2562,0.1081,0.7365,0.787
22:09:38:402,0.1721,0.1081,0.7765,0.803
22:09:38:403,0.1121,0.0801,0.9967,1.006
22:09:38:556,0.0961,0.0720,1.1488,1.155
22:09:38:557,0.1881,0.1961,0.5684,0.630
22:09:38:559,0.1441,0.2041,0.6284,0.676
22:09:38:561,0.0961,0.2081,0.7365,0.771
22:09:38:562,0.0640,0.1961,0.8886,0.912
22:09:38:563,0.1001,0.1721,0.9446,0.965
22:09:38:564,0.1641,0.1841,0.8806,0.914
22:09:38:565,0.1641,0.1881,0.8726,0.908
22:09:38:566,0.1361,0.2001,0.9767,1.006
22:09:38:568,0.0881,0.1881,1.2008,1.219
22:09:38:569,0.1001,0.2121,1.3129,1.334
22:09:38:570,0.1721,0.2442,1.1968,1.234
22:09:38:571,0.3522,0.2762,1.2689,1.345
22:09:38:572,0.3242,0.2161,1.3529,1.408
22:09:38:593,0.4283,0.2201,1.2248,1.316
22:09:38:595,0.4163,0.2522,1.1047,1.207
22:09:38:599,0.3642,0.2802,1.0847,1.178
22:09:38:609,0.3162,0.2402,1.1408,1.208
22:09:38:618,0.2882,0.2081,1.2408,1.291
22:09:38:628,0.3082,0.1721,1.2048,1.255
22:09:38:638,0.3723,0.1681,0.9607,1.044
22:09:38:648,0.3803,0.1801,0.7485,0.859
22:09:38:658,0.3723,0.1801,0.6845,0.800
22:09:38:668,0.2722,0.1561,0.7325,0.797
22:09:38:680,0.1561,0.0881,1.0247,1.040
22:09:38:690,0.0320,0.0400,1.3289,1.330
22:09:38:699,0.0720,0.0360,1.4130,1.415
22:09:38:708,0.1721,0.0400,1.1528,1.166
22:09:38:719,0.2121,0.0881,0.8646,0.895
22:09:38:729,0.1801,0.1401,0.7405,0.775
22:09:38:738,0.0961,0.1761,0.7845,0.810
22:09:38:748,0.0200,0.1961,0.9126,0.934
22:09:38:758,-0.0120,0.1961,1.0447,1.063
22:09:38:768,0.0520,0.1801,1.0927,1.109
22:09:38:780,0.1161,0.1561,1.1128,1.130
22:09:38:789,0.1561,0.1521,1.1488,1.169
22:09:38:799,0.1761,0.1481,1.1368,1.160
22:09:38:819,0.1801,0.1481,1.1168,1.141
22:09:38:823,0.1801,0.1761,1.1368,1.164
22:09:38:838,0.1841,0.2201,1.1528,1.188
22:09:38:840,0.1881,0.2362,1.1488,1.188
22:09:38:850,0.2121,0.2242,1.0927,1.135
22:09:38:860,0.2362,0.2121,0.9887,1.038
22:09:38:870,0.2962,0.2081,0.8686,0.941
22:09:38:880,0.2882,0.1321,0.8366,0.895
22:09:38:890,0.2602,0.1201,0.8646,0.911
22:09:38:900,0.2041,0.0961,0.9246,0.952
22:09:38:911,0.1561,0.0640,0.9727,0.987
22:09:38:920,0.1481,0.0440,1.0167,1.028
22:09:38:930,0.1561,0.0200,1.0567,1.068
22:09:38:940,0.1161,0.0320,1.0607,1.068
22:09:38:950,0.0761,0.0240,1.0767,1.080
22:09:38:961,0.0360,0.0440,1.1088,1.110
22:09:38:971,0.0120,0.0801,1.0847,1.088
22:09:38:981,0.0440,0.1121,0.9767,0.984
22:09:38:990,0.0400,0.1481,0.8526,0.866
22:09:39:1,0.0520,0.1841,0.7605,0.784
22:09:39:11,0.0400,0.2041,0.7445,0.773
22:09:39:21,0.0080,0.1801,0.8206,0.840
22:09:39:30,-0.0440,0.1641,1.0407,1.054
22:09:39:40,-0.0801,0.1241,1.3449,1.353
22:09:39:49,-0.0360,0.1161,1.4330,1.438
22:09:39:59,0.0280,0.1441,1.3089,1.317
22:09:39:68,0.0720,0.1881,1.0967,1.115
22:09:39:79,0.0480,0.2282,0.9607,0.989
22:09:39:88,0.0440,0.2602,0.8846,0.923
22:09:39:158,0.0400,0.2682,0.8526,0.895
22:09:44:123,0.2682,0.1681,1.1568,1.199
22:09:44:133,0.2842,0.2242,1.0127,1.075
22:09:44:143,0.2682,0.2602,0.8846,0.960
22:09:44:153,0.2282,0.2762,0.8005,0.877
22:09:44:163,0.2282,0.2482,0.7685,0.839
22:09:44:174,0.2282,0.2081,0.7885,0.847
22:09:44:184,0.2242,0.1601,0.9486,0.988
22:09:44:194,0.2121,0.0841,1.2929,1.313
22:09:44:205,0.2201,0.0320,1.5370,1.553
22:09:44:214,0.2962,0.0240,1.3849,1.416
22:09:44:224,0.3282,0.0480,1.0407,1.092
22:09:44:234,0.3322,0.1081,0.8286,0.899
22:09:44:244,0.2682,0.1641,0.7565,0.819
22:09:44:254,0.1881,0.1881,0.7405,0.787
22:09:44:264,0.1601,0.1641,0.7965,0.829
22:09:44:275,0.1521,0.1121,0.8566,0.877
22:09:44:284,0.1801,0.0720,0.9566,0.976
22:09:44:294,0.1681,0.0440,1.0887,1.103
22:09:44:304,0.1281,0.0240,1.1848,1.192
22:09:44:315,0.0961,0.0280,1.1288,1.133
22:09:44:324,0.0520,0.0720,0.9687,0.973
22:09:44:517,0.0360,0.1401,0.8686,0.881
22:09:44:518,0.0240,0.2081,0.8206,0.847
22:09:44:519,-0.0160,0.2322,0.8206,0.853
22:09:44:521,-0.0400,0.2322,0.8446,0.877
22:09:44:522,-0.0200,0.2402,0.8846,0.917
22:09:44:523,0.0240,0.2161,1.0087,1.032
22:09:44:525,0.0600,0.1721,1.1528,1.167
22:09:44:526,0.1041,0.1601,1.3329,1.347
22:09:44:527,0.1281,0.1681,1.3729,1.389
22:09:44:528,0.1521,0.1681,1.2288,1.250
22:09:44:529,0.1681,0.2201,1.0847,1.120
22:09:44:530,0.1601,0.2922,1.0087,1.062
22:09:44:639,0.1161,0.0961,1.2248,1.234
22:09:44:641,0.1361,0.1321,1.0407,1.058
22:09:44:642,0.1561,0.1841,0.9206,0.952
22:09:44:644,0.1641,0.1641,0.8286,0.860
22:09:44:645,0.1161,0.1121,0.8406,0.856
22:09:44:646,0.0881,0.1041,0.9206,0.931
22:09:44:647,0.0640,0.0841,1.0527,1.058
22:09:44:648,0.0600,0.0560,1.1488,1.152
22:09:44:650,0.0761,0.0440,1.0967,1.100
22:09:44:651,0.0881,0.0720,0.9326,0.940
22:09:44:652,0.0440,0.1121,0.8326,0.841
